Title: The ASAS-SN Bright Supernova Catalog -- II. 2015
Authors: T. W.-S. Holoien et al.
Table: Table 1 - ASAS-SN Supernovae
================================================================================
Byte-by-byte Description of file: table1.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label      Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---      SNName     Name of supernova
  13- 19 A7     ---      IAUName    IAU name of supernova (1)
  21- 33 A13    ---      DiscDate   Discovery Date
  35- 45 F11.2  ---      RA         Right Ascension (2)
  47- 57 F11.1  ---      Dec        Declination (2)
  59- 65 F7.5   ---      Redshift   Redshift of supernova
  67- 70 F4.1   mag      DiscMag    Discovery V-band Magnitude (3)
  72- 75 F4.1   mag      PeakMag    Peak V-band Magnitude (3)
  77- 82 A6     arcsec   Offset     Offset from host nucleus (4)
  84- 90 A7     ---      Type       Type of supernova
  92- 95 A4     d        DiscAge    Age of supernova at discovery, relative to peak (5)
  97-126 A30    ---      HostName   Host galaxy name
 128-153 A26    ---      DiscAtel   Discovery ATel
 155-184 A30    ---      ClassAtel  Classification ATel
--------------------------------------------------------------------------------
Note (1):   IAU name is not provided if one was not given to the supernova.
Note (2):   Right ascension and declination are given in the J2000 epoch.
Note (3):   All magnitudes are V -band magnitudes from ASAS-SN.
Note (4):   Offset indicates the offset of the SN in arcseconds from the coordinates of the host nucleus, taken from NED.
Note (5):   Discovery ages are given in days relative to peak. All ages are approximate and are only listed if a clear age was given in the classification telegram.
--------------------------------------------------------------------------------
ASASSN-15jm ---     2015-05-19.41       17.00        25.0 0.05300 17.1 16.6 1.30   Ia-91T  ---  2MASX J17210913+2534558        Brimacombe et al. (2015w)  Piascik & Steele (2015a)       
ASASSN-15jo ---     2015-05-20.14       14.00       -34.0 0.01100 16.4 15.2 95.64  Ia      ---  ABELL S0753                    Holoien et al. (2015i)     Hosseinzadeh et al. (2015b)    
ASASSN-15jp ---     2015-05-21.08       10.00       -31.0 0.00948 15.5 15.2 53.00  II      ---  NGC 3157                       Holoien et al. (2015j)     Falco et al. (2015g)           
ASASSN-15js ---     2015-05-21.21       10.00        12.0 0.02106 17.0 16.7 3.01   Ia      -3   2MFGC 08437                    Nicolas et al. (2015a)     Porter et al. (2015b)          
ASASSN-15jt ---     2015-05-22.34       13.00        27.0 0.02300 17.1 16.2 0.95   Ia      -13  2MASX J13080914+2749354        Brimacombe et al. (2015x)  Balam & Graham (2015b)         
ASASSN-15ke ---     2015-05-26.35       15.00        59.0 0.04536 16.9 16.9 3.28   Ia      8    2MASX J15254441+5921091        Nicolas et al. (2015b)     Balam & Graham (2015c)         
ASASSN-15kg ---     2015-05-27.99        8.00        -4.0 0.01426 15.8 15.1 7.61   Ia      -7   2MASX J08401168-0435369        Brimacombe et al. (2015y)  Hosseinzadeh et al. (2015c)    
ASASSN-15kj ---     2015-05-31.43        1.00       -39.0 0.01845 16.9 15.6 16.74  Ibn     -19  ESO 297-G037                   Brimacombe et al. (2015z)  Morrell (2015)                 
ASASSN-15kk ---     2015-06-05.28        9.00        74.0 0.00989 14.5 14.1 4.50   Ia      -5   UGC 04883                      Holoien et al. (2015k)     Porter et al. (2015b)          
ASASSN-15kn ---     2015-06-07.09       12.00        -7.0 0.02473 16.4 16.1 4.44   Ia      -1   2MASX J12415081-0710092        Brimacombe et al. (2015aa) Torres et al. (2015)           
ASASSN-15kp ---     2015-06-07.99       12.00       -32.0 0.01740 16.0 15.3 8.05   Ia      -4   AM 1255-315                    Nicholls et al. (2015b)    Prieto et al. (2015a)          
ASASSN-15kq ---     2015-06-06.95        6.00       -54.0 0.02676 16.8 16.3 1.35   Ia      -7   GALEXASC J064843.83-541213.4   Holoien et al. (2015l)     Torres et al. (2015)           
ASASSN-15kx ---     2015-06-10.57       22.00        37.0 0.01802 16.4 15.9 2.33   Ia      -8   MCG +06-49-001                 Holoien et al. (2015m)     Tomasella et al. (2015c)       
ASASSN-15kz ---     2015-06-12.07       13.00       -28.0 0.00802 16.0 15.5 7.94   IIP     ---  IC 4303                        Kiyota et al. (2015m)      Challis et al. (2015e)         
ASASSN-15la ---     2015-06-11.33       14.00        35.0 0.02790 16.6 16.4 0.67   Ia      -8   NGC 5517                       Kiyota et al. (2015n)      Porter et al. (2015c)          
ASASSN-15lf ---     2015-06-15.34       12.00        67.0 0.00838 16.1 15.7 23.94  IIn     ---  NGC 4108                       Masi et al. (2015a)        Challis et al. (2015f)         
ASASSN-15lg ---     2015-06-15.35       13.00         3.0 0.02032 16.3 15.8 2.12   Ia      -11  CGCG 044-042                   Masi et al. (2015b)        Challis et al. (2015f)         
ASASSN-15lh 2015L   2015-06-14.25       22.00       -61.0 0.23260 16.8 16.5 0.41   SLSN-I  9    APMUKS(BJ) B215839.70-615403.9 Nicholls et al. (2015c)    Dong et al. (2015f)            
ASASSN-15li ---     2015-06-16.34       14.00        62.0 0.02610 16.2 16.2 2.58   Ia      3    2MASX J14250783+6253235        Holoien et al. (2015n)     Challis et al. (2015g)         
ASASSN-15ln ---     2015-06-19.58        0.00        18.0 0.01501 16.0 16.0 21.78  II      ---  UGC 00546                      Holoien et al. (2015o)     Holoien et al. (2015o)         
ASASSN-15lo ---     2015-06-19.52       22.00        19.0 0.04100 16.9 16.6 15.00  Ia      10   GALEXASC J225332.83+194232.9   Dong et al. (2015e)        Leonard et al. (2015a)         
ASASSN-15lp ---     2015-06-20.61        1.00         5.0 0.01769 15.1 15.1 1.49   Ia      4    MRK 0576                       Kiyota et al. (2015o)      Morrell (2015)                 
ASASSN-15lu ---     2015-06-20.32       13.00        40.0 0.03504 17.1 16.5 0.36   Ia      ---  2MASX J13211289+4015564        Fernandez et al. (2015e)   Leonard et al. (2015b)         
ASASSN-15lv ---     2015-06-23.31        1.00       -32.0 0.01610 16.8 15.6 13.60  IIb     -9   GALEXASC J015900.57-322225.2   Brimacombe et al. (2015ab) Childress et al. (2015d)       
ASASSN-15lx ---     2015-06-26.36       20.00       -73.0 0.01263 17.3 16.4 14.28  IIn     ---  ESO 047-G004                   Brimacombe et al. (2015ac) Hosseinzadeh et al. (2015d)    
ASASSN-15mc ---     2015-07-05.61        2.00         3.0 0.01392 16.1 15.0 11.39  Ia      -9   UGC 02295                      Brimacombe et al. (2015ad) Zheng et al. (2015a)           
ASASSN-15mf ---     2015-07-07.32       14.00         2.0 0.02600 16.5 16.2 2.60   Ia      -3   UGC 09108 NED02                Nicolas et al. (2015c)     Piascik & Steele (2015b)       
ASASSN-15mg ---     2015-07-09.37       15.00        41.0 0.04286 17.0 17.0 1.40   Ia      -8   2MASX J15322270+4150586        Masi et al. (2015c)        Tomasella et al. (2015d)       
ASASSN-15mi ---     2015-07-06.32       14.00        41.0 0.03445 17.0 16.3 1.79   Ia      ---  MRK 0283a                      Masi et al. (2015d)        Tomasella et al. (2015e)       
ASASSN-15mj ---     2015-07-12.28       14.00        33.0 0.03437 16.3 16.3 6.76   Ib      -16  2MASX J14021617+3339415        Masi et al. (2015d)        Shivvers & Filippenko (2015)   
ASASSN-15ml ---     2015-07-12.46       20.00       -21.0 0.01862 16.9 16.6 3.32   Ia      12   2MASX J20030163-2154516        Brimacombe et al. (2015ae) Piascik et al. (2015)          
ASASSN-15mm ---     2015-07-13.35       15.00        29.0 0.02147 17.3 17.0 6.97   II      -5   SDSS J152523.40+291018.8       Brimacombe et al. (2015af) Piascik et al. (2015)          
ASASSN-15mp ---     2015-07-17.27        0.00       -14.0 0.03700 16.7 16.3 0.89   Ia      ---  2MASX J00584521-1404122        Brimacombe et al. (2015ag) Piascik & Steele (2015c)       
ASASSN-15mq ---     2015-07-18.43        5.00       -13.0 0.02494 17.5 17.2 6.35   Ia      -2   2MASX J05014660-1343503        Brimacombe et al. (2015ah) Reynolds et al. (2015)         
ASASSN-15ms ---     2015-07-18.32       14.00         6.0 0.04411 17.3 17.2 2.33   Ia      2    SDSS J145027.61+063713.3       Nicolas et al. (2015d)     Takats et al. (2015)           
ASASSN-15mx ---     2015-07-19.31       14.00        26.0 0.04100 17.1 16.9 8.16   Ia      6    SDSS J142443.90+260255.4       Holoien et al. (2015p)     Tartaglia et al. (2015)        
ASASSN-15ng ---     2015-07-24.00       13.00       -48.0 0.00984 15.8 15.8 28.31  IIP     ---  ESO 221-G012                   Brimacombe et al. (2015ai) Reynolds et al. (2015)         
ASASSN-15nh ---     2015-07-21.25        0.00        -3.0 0.05410 17.3 16.8 0.06   Ia      3    2MASX J00443129-0301012        Dong et al. (2015g)        Dong et al. (2015g)            
ASASSN-15nn ---     2015-07-24.59        1.00        48.0 0.02262 16.8 16.0 1.50   Ia      ---  UGC 01332                      Stanek et al. (2015a)      Arcavi et al. (2015)           
